,0
"('BsmtFin Type 1', 'Rec')",-4765.410743168218
"('Exterior 2nd', 'Plywood')",-5150.469262438749
"('Neighborhood', 'NoRidge')",-5302.668687344899
"('Land Contour', 'Low')",-5535.679495581345
"('Neighborhood', 'NPkVill')",-5706.225049254632
"('Neighborhood', 'BrDale')",-5706.522351149674
"('Exterior 2nd', 'HdBoard')",-6089.970431389031
"('Heating', 'GasW')",-6589.541948190947
"('Bsmt Qual', 'Po')",-6874.760764465176
"('Exterior 1st', 'HdBoard')",-6897.447040798091
"('Exterior 1st', 'Plywood')",-7023.79373241246
"('Exterior 2nd', 'MetalSd')",-7327.046404555281
"('House Style', '2.5Unf')",-8176.594768879387
"('Exterior 2nd', 'CmentBd')",-8357.039542762448
"('Neighborhood', 'Blueste')",-8931.44387527988
"('Exterior 1st', 'Stucco')",-9444.364310120778
"('Exterior 2nd', 'ImStucc')",-9612.392728042632
"('Exterior 2nd', 'BrkFace')",-10204.956660190324
"('Bsmt Qual', 'Fa')",-10854.481158912931
"('Bldg Type', '2fmCon')",-11202.22292348211
"('Bsmt Qual', 'TA')",-11773.745428947152
"('Heating', 'Grav')",-11934.98427800366
"('Bldg Type', 'Duplex')",-12373.905559378736
"('Lot Shape', 'IR3')",-12648.691295588444
Kitchen AbvGr,-12980.760677578317
"('Roof Matl', 'WdShake')",-13314.05781633626
"('Bsmt Qual', 'Gd')",-13486.051627821244
"('BsmtFin Type 2', 'Unf')",-13809.305103898983
"('BsmtFin Type 2', 'LwQ')",-14117.923403706036
"('Exter Qual', 'Fa')",-14138.666487555935
"('Exterior 1st', 'VinylSd')",-14364.680561959034
"('Land Slope', 'Sev')",-15038.227254424026
"('BsmtFin Type 2', 'BLQ')",-15290.618866141083
"('BsmtFin Type 2', 'Rec')",-16455.845721664544
"('Exterior 1st', 'BrkComm')",-18662.239967395504
"('Kitchen Qual', 'TA')",-19468.752150292632
"('Neighborhood', 'Crawfor')",-19664.165339527528
"('Neighborhood', 'MeadowV')",-19795.921748762004
"('Kitchen Qual', 'Gd')",-20788.653758204066
"('Exter Qual', 'Gd')",-21285.73140540184
"('Neighborhood', 'Veenker')",-21532.404701600597
"('Kitchen Qual', 'Fa')",-24407.870897122455
"('Exter Qual', 'TA')",-24450.81106308806
"('Neighborhood', 'BrkSide')",-26016.3340958657
"('Neighborhood', 'Somerst')",-26153.94971352327
"('Bldg Type', 'TwnhsE')",-27702.46872824099
"('Neighborhood', 'Gilbert')",-28675.919021728605
"('Neighborhood', 'Sawyer')",-29479.569530705507
"('Neighborhood', 'SawyerW')",-30697.791985421176
"('Bldg Type', 'Twnhs')",-31991.777089359883
"('Neighborhood', 'Timber')",-32429.44107129747
"('Neighborhood', 'CollgCr')",-33371.23991801987
"('Neighborhood', 'Mitchel')",-34390.926576290265
"('Neighborhood', 'IDOTRR')",-34543.935516665755
"('Roof Style', 'Shed')",-34757.24519057622
"('Neighborhood', 'NAmes')",-34994.94845151076
"('Neighborhood', 'OldTown')",-37013.11069132558
"('Neighborhood', 'Edwards')",-38050.45264483767
"('Neighborhood', 'SWISU')",-38569.95259372001
"('Neighborhood', 'NWAmes')",-39069.1539115651
"('Neighborhood', 'ClearCr')",-45371.625976386065
